************************************
* 隐马尔科夫模型统计
名称 start middle end
*******************************************

百,109,45,17
科,157,74,237
编,72,7,48
辑,2,15,11
燃,21,9,9
梦,46,54,48
词,37,8,99
条,36,27,76
期,23,22,212
次,32,16,65
度,18,46,222
往,23,4,24
合,157,107,98
作,105,101,84
分,229,69,94
享,9,5,6
收,129,27,46
藏,66,27,49
信,128,74,159
息,11,40,60
进,116,44,116
入,113,19,120
任,202,34,72
务,12,108,69
创,68,10,20
建,130,92,96
关,171,48,124
闭,24,6,18
网,73,14,324
页,5,6,17
投,85,7,12
诉,13,5,19
首,90,21,59
数,127,24,165
日,144,73,157
文,372,272,387
化,80,191,416
引,74,12,25
用,84,87,143
通,194,65,145
过,129,41,79
一,339,150,127
个,23,38,29
历,45,9,50
史,143,26,126
问,35,16,54
题,28,12,49
生,241,164,410
活,81,34,49
参,90,11,20
加,184,65,71
人,217,131,1055
物,55,94,201
音,67,47,133
乐,108,94,106
方,274,100,221
式,4,23,232
自,278,44,33
然,6,37,185
城,86,132,443
市,74,49,694
计,54,36,64
划,27,25,18
特,194,101,288
色,50,46,255
详,12,0,6
情,83,31,151
工,175,77,192
平,311,110,255
台,84,55,185
帮,30,22,26
助,34,18,25
模,38,4,27
户,24,31,73
知,58,49,59
道,90,93,428
喜,53,25,46
欢,35,5,28
浏,8,0,1
览,1,15,16
发,272,96,168
展,49,33,51
类,31,9,144
联,103,39,78
系,27,28,124
议,25,27,39
权,55,18,218
威,75,39,104
成,203,102,211
长,314,144,232
常,140,36,43
见,45,30,108
统,45,29,52
手,147,42,219
机,123,49,401
图,85,27,167
片,29,16,190
视,35,49,64
频,16,8,21
协,30,10,28
意,46,37,139
经,144,59,115
济,31,62,39
官,85,38,138
讨,23,3,8
论,36,24,141
规,29,18,31
则,7,19,33
修,100,33,72
改,69,11,22
打,217,14,49
开,274,48,116
公,262,121,158
司,88,28,93
免,46,5,15
费,84,14,139
术,8,82,95
语,39,30,175
搜,23,1,1
索,84,18,59
查,75,27,37
询,3,12,10
反,142,12,14
馈,2,0,4
声,53,32,199
明,207,159,294
看,86,3,32
二,148,44,52
战,118,33,148
回,157,17,57
顾,93,6,18
商,142,21,105
库,72,23,72
登,62,31,52
录,27,12,88
疑,22,6,19
举,44,12,43
报,89,30,145
贴,28,5,16
吧,5,0,19
门,108,95,388
微,90,5,33
付,38,12,18
申,75,9,16
侵,22,2,1
上,376,41,266
路,95,61,341
蝌,1,0,0
蚪,0,0,1
封,73,23,33
禁,46,4,24
解,103,26,63
安,355,135,200
票,18,14,66
册,6,5,26
锁,23,5,17
定,132,93,126
研,36,18,13
究,2,21,15
己,11,7,24
标,61,24,66
签,23,1,17
品,32,42,176
学,145,194,451
艺,51,57,55
行,137,116,249
目,31,25,142
管,100,40,146
理,64,118,127
内,229,50,95
容,45,58,68
时,136,65,143
间,30,44,112
简,74,6,12
介,25,20,15
相,183,44,106
技,29,32,30
企,27,10,10
业,24,131,235
体,90,64,278
育,22,56,31
组,47,15,101
织,22,35,25
集,88,29,137
第,122,10,30
就,32,5,16
是,14,4,63
设,46,15,32
项,23,11,33
教,131,40,105
基,109,76,124
本,171,98,171
快,60,4,32
速,34,21,52
全,198,47,51
站,18,6,173
中,555,132,294
心,168,139,298
校,71,13,75
动,86,133,133
完,40,10,17
整,80,9,16
同,174,48,64
始,21,15,21
升,47,19,48
级,7,19,124
电,257,100,91
影,46,46,85
补,74,8,23
充,29,10,12
服,52,14,87
赶,35,1,2
紧,43,3,24
种,55,16,120
提,80,28,30
供,52,6,8
大,1220,307,187
专,113,12,7
导,55,44,40
演,55,22,37
产,67,70,78
响,26,8,33
程,93,36,69
包,110,36,77
括,4,7,9
名,141,43,186
院,23,13,193
法,152,86,354
资,63,39,49
源,31,78,136
之,24,82,153
出,243,57,201
现,67,24,31
形,35,63,117
代,136,64,78
表,75,29,117
已,12,0,13
政,67,111,94
府,21,13,180
世,82,163,112
界,20,33,161
绍,18,48,18
构,17,18,21
况,6,1,23
般,7,5,12
里,74,183,253
员,7,18,190
应,106,64,51
单,123,8,45
位,20,26,132
三,329,73,76
环,68,32,56
境,9,16,53
根,39,38,130
据,12,18,24
后,151,29,130
部,37,40,300
于,374,14,160
料,12,25,84
场,27,31,238
立,90,90,123
万,169,20,33
元,118,122,132
言,47,28,125
主,205,59,163
选,72,21,57
择,19,7,5
些,5,3,13
饰,7,11,31
如,60,38,70
果,52,48,92
实,114,27,88
游,106,43,64
戏,44,19,85
著,12,4,19
北,250,74,70
京,73,45,56
高,600,96,79
面,78,74,259
积,47,42,31
结,112,39,50
称,39,5,56
负,40,6,18
责,23,3,24
释,25,11,15
决,41,11,25
础,0,4,6
络,6,23,15
娱,10,1,3
各,69,5,2
获,24,6,21
奖,17,5,125
义,66,77,122
习,32,27,25
领,70,17,36
采,68,23,14
评,53,8,30
价,20,9,122
团,69,18,142
当,90,34,58
授,26,1,15
件,1,21,76
制,104,60,213
准,33,29,33
歌,54,17,99
曲,97,30,103
外,259,43,102
控,31,8,31
角,42,44,116
筑,13,19,13
毕,48,3,3
海,313,162,280
版,13,24,81
利,122,153,238
点,64,25,232
旅,50,4,17
候,15,9,32
师,79,94,177
对,140,33,31
口,84,93,238
小,830,190,64
说,74,14,110
增,85,15,20
功,27,33,71
综,22,3,3
别,49,27,45
保,184,40,65
护,56,44,35
优,87,10,22
秀,27,77,98
重,178,44,90
支,81,22,30
持,28,13,29
范,104,24,24
围,48,12,21
必,28,24,10
须,21,14,19
治,42,62,66
示,26,22,31
职,36,12,65
者,2,17,503
型,9,28,151
析,6,12,15
直,113,24,46
备,30,23,37
施,114,11,21
担,18,3,6
运,84,55,85
处,40,26,162
域,6,8,31
故,39,6,22
事,47,66,197
变,99,18,77
什,23,25,31
么,1,19,20
营,68,27,81
香,118,57,109
港,31,27,100
质,37,44,116
量,25,40,277
指,95,9,41
传,121,55,118
前,147,42,85
精,108,23,32
神,205,49,112
家,130,262,439
向,151,38,74
接,108,25,28
疗,9,13,13
